store_id,product_id,quantity,closing_stock,opening_stock,inventory_date
1,2001,14,54,68,31/03/2026
1,2002,4,33,37,31/03/2026
1,2003,3,49,52,31/03/2026
1,2004,14,72,86,31/03/2026
1,2005,12,81,93,31/03/2026
1,2006,6,72,78,31/03/2026
1,2007,14,18,32,31/03/2026
1,2008,14,57,71,31/03/2026
1,2009,4,35,39,31/03/2026
1,2010,9,86,95,31/03/2026
1,2011,2,92,94,31/03/2026
1,2012,11,66,77,31/03/2026
1,2013,4,29,33,31/03/2026
1,2014,6,63,69,31/03/2026
1,2015,10,84,94,31/03/2026
1,2016,9,79,88,31/03/2026
1,2017,2,20,22,31/03/2026
1,2018,3,59,62,31/03/2026
1,2019,5,73,78,31/03/2026
1,2020,11,63,74,31/03/2026
1,2021,9,53,62,31/03/2026
1,2022,5,44,49,31/03/2026
1,2023,1,95,96,31/03/2026
1,2024,12,61,73,31/03/2026
1,2025,15,51,66,31/03/2026
1,2026,6,36,42,31/03/2026
1,2027,5,42,47,31/03/2026
1,2028,14,84,98,31/03/2026
1,2029,1,61,62,31/03/2026
1,2030,8,34,42,31/03/2026
1,2031,10,59,69,31/03/2026
1,2032,12,63,75,31/03/2026
1,2033,12,41,53,31/03/2026
1,2034,3,59,62,31/03/2026
1,2035,13,66,79,31/03/2026
1,2036,12,9,21,31/03/2026
1,2037,3,20,23,31/03/2026
1,2038,12,47,59,31/03/2026
1,2039,12,67,79,31/03/2026
1,2040,9,33,42,31/03/2026
1,2041,2,23,25,31/03/2026
1,2042,3,96,99,31/03/2026
1,2043,11,82,93,31/03/2026
1,2044,15,61,76,31/03/2026
1,2045,4,22,26,31/03/2026
1,2046,13,84,97,31/03/2026
1,2047,13,31,44,31/03/2026
1,2048,3,38,41,31/03/2026
1,2049,10,58,68,31/03/2026
1,2050,15,75,90,31/03/2026
1,2051,10,21,31,31/03/2026
1,2052,8,60,68,31/03/2026
1,2053,13,52,65,31/03/2026
