order_id,store_id,product_id,customer_id,order_date,quantity,selling_price,revenue
100001,1,2028,6236,06-02-2025,1,32990,32990
100002,1,2001,6306,24-04-2025,2,26999,53998
100003,4,2039,6498,13-04-2025,1,1999,1999
100004,10,2065,6421,26-07-2024,1,29990,29990
100005,2,2075,6444,29-02-2024,1,13990,13990
100006,7,2034,6481,04-06-2023,2,13499,26998
100007,3,2043,6379,06-02-2026,2,7499,14998
100008,2,2114,6398,27-02-2026,1,7999,7999
100009,7,2028,6229,15-02-2025,1,32990,32990
100010,10,2120,6109,29-01-2026,1,12499,12499
100011,10,2042,6498,27-02-2025,1,26990,26990
100012,4,2007,6089,09-10-2025,1,25999,25999
100013,8,2040,6057,13-05-2025,1,1199,1199
100014,1,2028,6385,08-04-2025,1,32990,32990
100015,6,2006,6057,08-05-2024,1,33999,33999
100016,8,2091,6077,10-05-2023,2,12499,24998
100017,5,2018,6154,31-12-2025,1,84990,84990
100018,8,2044,6330,18-03-2026,1,9499,9499
100019,8,2105,6408,31-12-2025,2,24990,49980
100020,5,2006,6303,03-07-2025,1,33999,33999
100021,4,2010,6046,12-10-2025,1,19999,19999
100022,5,2119,6466,10-03-2026,1,9999,9999
100023,7,2004,6500,25-10-2025,1,21999,21999
100024,8,2003,6283,13-10-2025,1,27999,27999
100025,4,2102,6292,24-07-2024,1,30990,30990
100026,8,2115,6082,02-10-2024,1,3499,3499
100027,4,2114,6255,17-02-2026,1,7999,7999
100028,10,2017,6006,26-02-2026,2,64990,129980
100029,1,2114,6226,04-07-2024,1,7999,7999
100030,9,2102,6438,28-01-2026,1,30990,30990
100031,4,2036,6104,12-03-2026,1,18999,18999
100032,3,2087,6409,04-03-2025,1,19990,19990
100033,1,2038,6024,29-06-2023,1,1799,1799
100034,10,2098,6224,11-03-2025,1,2799,2799
100035,10,2072,6202,10-03-2026,1,32990,32990
100036,9,2075,6171,23-03-2026,1,13990,13990
100037,10,2074,6257,10-01-2026,1,44990,44990
100038,6,2109,6432,21-10-2024,1,42990,42990
100039,6,2002,6380,21-05-2025,1,79900,79900
100040,3,2069,6424,22-01-2026,1,14990,14990
100041,1,2010,6187,19-03-2026,1,19999,19999
100042,2,2078,6255,08-11-2025,1,29990,29990
100043,2,2079,6441,02-06-2025,1,21990,21990
100044,7,2014,6333,17-03-2026,1,114900,114900
100045,1,2118,6006,01-11-2025,1,10999,10999
100046,4,2100,6429,23-03-2024,1,1699,1699
100047,2,2064,6229,20-07-2024,1,19990,19990
100048,1,2016,6248,18-06-2025,2,51990,103980
100049,1,2060,6351,08-03-2026,2,1499,2998
100050,7,2067,6072,17-02-2026,1,15990,15990
100051,4,2063,6288,03-01-2026,1,34990,34990
100052,2,2027,6012,13-04-2024,3,22990,68970
100053,2,2038,6385,03-11-2023,1,1799,1799
100054,3,2114,6273,08-06-2023,1,7999,7999
100055,9,2087,6141,27-09-2024,1,19990,19990
100056,10,2065,6264,24-03-2025,1,29990,29990
100057,7,2007,6002,16-12-2024,2,25999,51998
100058,7,2008,6118,08-03-2026,1,22999,22999
100059,8,2056,6155,04-10-2025,1,1699,1699
100060,7,2036,6333,19-06-2025,1,18999,18999
100061,4,2113,6251,06-02-2026,1,9499,9499
100062,5,2104,6359,15-07-2025,1,44990,44990
100063,7,2058,6484,24-03-2024,2,9999,19998
100064,2,2002,6258,20-08-2024,1,79900,79900
100065,9,2100,6444,16-05-2025,2,1699,3398
100066,3,2110,6378,24-02-2026,1,31990,31990
100067,4,2042,6489,28-04-2024,1,26990,26990
100068,7,2033,6012,09-04-2023,1,12999,12999
100069,7,2014,6430,04-03-2025,1,114900,114900
100070,1,2086,6073,01-11-2024,1,17990,17990
100071,7,2035,6221,14-10-2024,1,3499,3499
100072,2,2009,6376,05-06-2025,1,10999,10999
100073,4,2076,6328,21-01-2026,1,38990,38990
100074,1,2072,6126,07-09-2024,1,32990,32990
100075,3,2031,6500,29-01-2026,1,9499,9499
100076,3,2101,6114,26-05-2022,1,38990,38990
100077,3,2058,6497,30-07-2025,1,9999,9999
100078,10,2118,6188,05-03-2026,1,10999,10999
100079,8,2061,6463,29-01-2026,1,44900,44900
100080,5,2119,6282,07-03-2025,1,9999,9999
100081,3,2007,6114,22-07-2023,1,25999,25999
100082,2,2107,6002,02-07-2023,1,33990,33990
100083,10,2113,6388,22-01-2026,1,9499,9499
100084,5,2025,6393,22-03-2025,1,33990,33990
100085,1,2106,6219,07-03-2026,1,41990,41990
100086,3,2105,6205,14-12-2025,1,24990,24990
100087,4,2003,6087,13-07-2025,1,27999,27999
100088,7,2052,6157,16-10-2025,1,15999,15999
100089,5,2091,6388,02-02-2023,1,12499,12499
100090,1,2076,6166,01-09-2025,3,38990,116970
100091,7,2069,6119,10-01-2024,1,14990,14990
100092,10,2021,6272,30-01-2023,1,38990,38990
100093,4,2112,6239,14-01-2026,1,5499,5499
100094,8,2039,6316,11-03-2026,1,1999,1999
100095,8,2006,6471,13-02-2026,1,33999,33999
100096,1,2095,6042,04-10-2024,1,14999,14999
100097,8,2098,6235,31-03-2025,1,2799,2799
100098,1,2007,6065,03-09-2024,1,25999,25999
100099,3,2055,6156,22-07-2024,1,5499,5499
100100,2,2070,6266,16-10-2025,1,10990,10990
100101,5,2036,6010,10-11-2025,1,18999,18999
100102,1,2006,6435,16-10-2025,1,33999,33999
100103,8,2029,6423,16-11-2023,1,25990,25990
100104,1,2043,6201,25-02-2026,1,7499,7499
100105,8,2044,6106,20-06-2025,1,9499,9499
100106,5,2093,6113,16-04-2025,1,29990,29990
100107,8,2002,6318,23-12-2025,2,79900,159800
100108,5,2001,6083,18-11-2024,1,26999,26999
100109,9,2029,6111,29-07-2025,1,25990,25990
100110,10,2016,6244,23-04-2025,2,51990,103980
100111,8,2104,6130,02-11-2025,1,44990,44990
100112,2,2075,6207,30-12-2025,1,13990,13990
100113,9,2045,6370,08-11-2023,1,22990,22990
100114,8,2014,6047,30-01-2024,1,114900,114900
100115,2,2013,6379,04-04-2025,1,47990,47990
100116,5,2025,6119,17-09-2023,1,33990,33990
100117,9,2102,6286,25-02-2025,2,30990,61980
100118,2,2059,6380,22-11-2025,1,3499,3499
100119,4,2112,6263,31-12-2023,1,5499,5499
100120,10,2005,6474,27-12-2024,1,12999,12999
100121,9,2093,6211,27-01-2026,1,29990,29990
100122,7,2101,6174,14-06-2025,2,38990,77980
100123,1,2112,6454,06-11-2024,1,5499,5499
100124,10,2098,6244,08-11-2023,1,2799,2799
100125,6,2021,6421,08-05-2024,1,38990,38990
100126,8,2051,6408,26-09-2025,1,9499,9499
100127,10,2115,6170,30-03-2026,1,3499,3499
100128,3,2105,6454,16-02-2026,1,24990,24990
100129,6,2093,6219,13-03-2026,1,29990,29990
100130,4,2116,6350,29-01-2026,1,7499,7499
100131,1,2106,6477,13-07-2022,1,41990,41990
100132,4,2031,6380,11-03-2026,2,9499,18998
