date,year,month,month_name,quarter,day,weekday_name,is_weekend,is_public_holiday,holiday_name,is_working_day,day_type
2024-01-01,2024,1,January,Q1,1,Monday,False,True,New Year's Day,False,Public Holiday
2024-01-02,2024,1,January,Q1,2,Tuesday,False,False,,True,Weekday
2024-01-03,2024,1,January,Q1,3,Wednesday,False,False,,True,Weekday
2024-01-04,2024,1,January,Q1,4,Thursday,False,False,,True,Weekday
2024-01-05,2024,1,January,Q1,5,Friday,False,False,,True,Weekday
2024-01-06,2024,1,January,Q1,6,Saturday,True,False,,False,Weekend
2024-01-07,2024,1,January,Q1,7,Sunday,True,False,,False,Weekend
2024-01-08,2024,1,January,Q1,8,Monday,False,False,,True,Weekday
2024-01-09,2024,1,January,Q1,9,Tuesday,False,False,,True,Weekday
2024-01-10,2024,1,January,Q1,10,Wednesday,False,False,,True,Weekday
2024-01-11,2024,1,January,Q1,11,Thursday,False,False,,True,Weekday
2024-01-12,2024,1,January,Q1,12,Friday,False,False,,True,Weekday
2024-01-13,2024,1,January,Q1,13,Saturday,True,True,Lohri,False,Public Holiday
2024-01-14,2024,1,January,Q1,14,Sunday,True,True,Makar Sankranti,False,Public Holiday
2024-01-15,2024,1,January,Q1,15,Monday,False,True,Pongal,False,Public Holiday
2024-01-16,2024,1,January,Q1,16,Tuesday,False,False,,True,Weekday
2024-01-17,2024,1,January,Q1,17,Wednesday,False,True,Guru Govind Singh Jayanti,False,Public Holiday
2024-01-18,2024,1,January,Q1,18,Thursday,False,False,,True,Weekday
2024-01-19,2024,1,January,Q1,19,Friday,False,False,,True,Weekday
2024-01-20,2024,1,January,Q1,20,Saturday,True,False,,False,Weekend
2024-01-21,2024,1,January,Q1,21,Sunday,True,False,,False,Weekend
2024-01-22,2024,1,January,Q1,22,Monday,False,False,,True,Weekday
2024-01-23,2024,1,January,Q1,23,Tuesday,False,False,,True,Weekday
2024-01-24,2024,1,January,Q1,24,Wednesday,False,False,,True,Weekday
2024-01-25,2024,1,January,Q1,25,Thursday,False,True,Hazarat Ali's Birthday,False,Public Holiday
2024-01-26,2024,1,January,Q1,26,Friday,False,True,Republic Day,False,Public Holiday
2024-01-27,2024,1,January,Q1,27,Saturday,True,False,,False,Weekend
2024-01-28,2024,1,January,Q1,28,Sunday,True,False,,False,Weekend
2024-01-29,2024,1,January,Q1,29,Monday,False,False,,True,Weekday
2024-01-30,2024,1,January,Q1,30,Tuesday,False,False,,True,Weekday
2024-01-31,2024,1,January,Q1,31,Wednesday,False,False,,True,Weekday
2024-02-01,2024,2,February,Q1,1,Thursday,False,False,,True,Weekday
2024-02-02,2024,2,February,Q1,2,Friday,False,False,,True,Weekday
2024-02-03,2024,2,February,Q1,3,Saturday,True,False,,False,Weekend
2024-02-04,2024,2,February,Q1,4,Sunday,True,False,,False,Weekend
2024-02-05,2024,2,February,Q1,5,Monday,False,False,,True,Weekday
2024-02-06,2024,2,February,Q1,6,Tuesday,False,False,,True,Weekday
2024-02-07,2024,2,February,Q1,7,Wednesday,False,False,,True,Weekday
2024-02-08,2024,2,February,Q1,8,Thursday,False,False,,True,Weekday
2024-02-09,2024,2,February,Q1,9,Friday,False,False,,True,Weekday
2024-02-10,2024,2,February,Q1,10,Saturday,True,True,Lunar New Year,False,Public Holiday
2024-02-11,2024,2,February,Q1,11,Sunday,True,False,,False,Weekend
2024-02-12,2024,2,February,Q1,12,Monday,False,False,,True,Weekday
2024-02-13,2024,2,February,Q1,13,Tuesday,False,False,,True,Weekday
2024-02-14,2024,2,February,Q1,14,Wednesday,False,True,Valentine's Day,False,Public Holiday
2024-02-15,2024,2,February,Q1,15,Thursday,False,False,,True,Weekday
2024-02-16,2024,2,February,Q1,16,Friday,False,False,,True,Weekday
2024-02-17,2024,2,February,Q1,17,Saturday,True,False,,False,Weekend
2024-02-18,2024,2,February,Q1,18,Sunday,True,False,,False,Weekend
2024-02-19,2024,2,February,Q1,19,Monday,False,True,Shivaji Jayanti,False,Public Holiday
2024-02-20,2024,2,February,Q1,20,Tuesday,False,False,,True,Weekday
2024-02-21,2024,2,February,Q1,21,Wednesday,False,False,,True,Weekday
2024-02-22,2024,2,February,Q1,22,Thursday,False,False,,True,Weekday
2024-02-23,2024,2,February,Q1,23,Friday,False,False,,True,Weekday
2024-02-24,2024,2,February,Q1,24,Saturday,True,True,Guru Ravidas Jayanti,False,Public Holiday
2024-02-25,2024,2,February,Q1,25,Sunday,True,False,,False,Weekend
2024-02-26,2024,2,February,Q1,26,Monday,False,False,,True,Weekday
2024-02-27,2024,2,February,Q1,27,Tuesday,False,False,,True,Weekday
2024-02-28,2024,2,February,Q1,28,Wednesday,False,False,,True,Weekday
2024-02-29,2024,2,February,Q1,29,Thursday,False,False,,True,Weekday
2024-03-01,2024,3,March,Q1,1,Friday,False,False,,True,Weekday
2024-03-02,2024,3,March,Q1,2,Saturday,True,False,,False,Weekend
2024-03-03,2024,3,March,Q1,3,Sunday,True,False,,False,Weekend
2024-03-04,2024,3,March,Q1,4,Monday,False,False,,True,Weekday
2024-03-05,2024,3,March,Q1,5,Tuesday,False,False,,True,Weekday
