feedback_id,customer_id,store_id,rating,comment,channel,date,year_month
0,6122,8,3,Product meets basic expectations.,Website,2024-06-16,2024-06
1,6370,3,5,Five stars well deserved!,Website,2023-02-23,2023-02
2,6209,3,2,"Billing took forever, staff was rude.",Email,2023-11-25,2023-11
3,6409,10,3,Product meets basic expectations.,Phone-Call,2023-06-20,2023-06
4,6278,9,4,Outstanding support and great deals.,WhatsApp,2024-01-23,2024-01
5,6180,2,4,Will definitely come back again!,In-Store,2024-12-30,2024-12
6,6317,2,5,Super fast billing and great ambience.,Email,2025-01-22,2025-01
7,6271,4,3,Service was okay but could be improved.,Phone-Call,2024-09-16,2024-09
8,6035,6,5,Store was clean and well organized.,WhatsApp,2023-07-08,2023-07
9,6138,5,5,Good value for money.,Phone-Call,2023-10-23,2023-10
10,6249,3,4,Outstanding support and great deals.,Phone-Call,2022-08-01,2022-08
11,6030,7,4,Store was clean and well organized.,WhatsApp,2022-12-15,2022-12
12,6267,2,4,Outstanding support and great deals.,WhatsApp,2023-09-19,2023-09
13,6347,6,3,Store was clean but staff seemed busy.,App,2023-07-24,2023-07
14,6464,9,4,Five stars well deserved!,WhatsApp,2022-10-01,2022-10
15,6197,2,4,Super fast billing and great ambience.,WhatsApp,2025-05-14,2025-05
16,6301,6,5,Best electronics store in the city!,App,2025-07-27,2025-07
17,6184,1,5,Amazing product quality. Very satisfied.,Email,2022-02-08,2022-02
18,6093,8,1,Return process was complicated.,In-Store,2024-11-03,2024-11
19,6270,2,1,Overpriced and poor quality.,In-Store,2024-05-06,2024-05
20,6143,3,2,"Product is average, expected much more.",Phone-Call,2024-02-21,2024-02
21,6494,7,5,Good value for money.,In-Store,2025-08-07,2025-08
22,6065,9,4,Outstanding support and great deals.,Email,2024-01-07,2024-01
23,6291,5,4,Amazing product quality. Very satisfied.,WhatsApp,2025-02-10,2025-02
24,6202,4,3,Product meets basic expectations.,Website,2023-03-06,2023-03
25,6481,5,4,Best electronics store in the city!,App,2025-06-26,2025-06
26,6135,6,4,Good value for money.,App,2024-07-22,2024-07
27,6350,8,5,Good value for money.,Website,2022-02-24,2022-02
28,6187,7,5,Super fast billing and great ambience.,Website,2022-06-27,2022-06
29,6173,5,5,Quick billing and smooth process.,Email,2023-09-19,2023-09
30,6347,9,3,"Met some expectations, decent selection.",Phone-Call,2024-01-21,2024-01
31,6285,5,3,Product meets basic expectations.,In-Store,2025-07-11,2025-07
32,6029,6,5,Good value for money.,Email,2024-01-08,2024-01
33,6230,4,5,Store was clean and well organized.,Email,2026-01-31,2026-01
34,6228,4,2,Below average experience overall.,Phone-Call,2023-01-06,2023-01
35,6136,6,4,Amazing product quality. Very satisfied.,In-Store,2023-07-23,2023-07
36,6346,7,3,"Average experience, nothing special.",In-Store,2026-01-27,2026-01
37,6024,8,2,"Billing took forever, staff was rude.",Website,2023-12-12,2023-12
38,6147,3,3,Would recommend to friends.,Website,2025-07-18,2025-07
39,6396,10,5,Good value for money.,Email,2022-07-19,2022-07
40,6442,6,5,Will definitely come back again!,WhatsApp,2024-08-12,2024-08
41,6297,9,4,Store was clean and well organized.,App,2022-04-20,2022-04
42,6348,1,4,Outstanding support and great deals.,App,2025-05-20,2025-05
43,6030,2,4,Store was clean and well organized.,WhatsApp,2025-01-07,2025-01
44,6354,2,4,Five stars well deserved!,Email,2022-10-29,2022-10
45,6197,8,2,"Billing took forever, staff was rude.",WhatsApp,2023-08-14,2023-08
46,6328,8,3,"Met some expectations, decent selection.",App,2024-11-01,2024-11
47,6279,4,5,Quick billing and smooth process.,Website,2024-03-12,2024-03
48,6427,3,4,Outstanding support and great deals.,Website,2025-07-06,2025-07
49,6117,5,4,Quick billing and smooth process.,Website,2022-06-21,2022-06
50,6144,8,2,Overpriced and poor quality.,WhatsApp,2025-04-09,2025-04
51,6076,8,3,"Met some expectations, decent selection.",App,2023-05-29,2023-05
52,6329,8,5,Store was clean and well organized.,In-Store,2022-03-02,2022-03
53,6297,8,5,Super fast billing and great ambience.,In-Store,2023-10-04,2023-10
54,6496,5,3,Service was okay but could be improved.,App,2024-09-07,2024-09
55,6164,3,3,Product meets basic expectations.,Website,2023-08-27,2023-08
56,6261,3,2,Price is not justified for the quality.,Website,2023-04-28,2023-04
57,6239,9,4,Five stars well deserved!,Website,2022-03-06,2022-03
58,6327,3,4,Best electronics store in the city!,Website,2022-03-14,2022-03
59,6415,1,1,"Product is average, expected much more.",Email,2025-10-08,2025-10
60,6225,1,3,Product meets basic expectations.,Website,2022-10-11,2022-10
61,6299,5,2,"Product is average, expected much more.",WhatsApp,2022-10-01,2022-10
62,6139,8,5,Will definitely come back again!,App,2024-01-26,2024-01
63,6233,5,3,Service was okay but could be improved.,Email,2025-02-06,2025-02
64,6455,10,5,Best electronics store in the city!,App,2025-09-14,2025-09
65,6260,2,2,Overpriced and poor quality.,Phone-Call,2024-08-18,2024-08
66,6340,7,4,Best electronics store in the city!,App,2024-07-25,2024-07
67,6065,10,4,Staff went above and beyond to help.,Email,2023-07-16,2023-07
68,6358,3,3,Store was clean but staff seemed busy.,WhatsApp,2024-07-31,2024-07
69,6127,9,1,Return process was complicated.,WhatsApp,2023-10-16,2023-10
70,6468,4,5,Quick billing and smooth process.,WhatsApp,2023-04-10,2023-04
71,6391,1,5,Super fast billing and great ambience.,Website,2023-06-13,2023-06
72,6294,4,5,Outstanding support and great deals.,Phone-Call,2023-01-02,2023-01
73,6082,3,4,Five stars well deserved!,App,2024-06-19,2024-06
74,6027,10,5,Amazing product quality. Very satisfied.,Email,2023-07-08,2023-07
75,6478,5,2,"Product is average, expected much more.",Email,2026-01-19,2026-01
76,6355,6,3,Store was clean but staff seemed busy.,Email,2022-03-13,2022-03
77,6038,5,4,Amazing product quality. Very satisfied.,Website,2025-10-13,2025-10
78,6184,2,4,Outstanding support and great deals.,WhatsApp,2022-05-18,2022-05
79,6291,2,3,Product meets basic expectations.,Email,2023-11-08,2023-11
80,6104,1,4,Five stars well deserved!,Email,2026-03-07,2026-03
81,6399,2,5,Will definitely come back again!,Website,2023-05-23,2023-05
82,6274,4,4,Will definitely come back again!,Email,2026-03-23,2026-03
83,6432,5,4,Staff went above and beyond to help.,Website,2023-07-10,2023-07
84,6477,2,1,"Long waiting time, no one attended to us.",Phone-Call,2022-12-04,2022-12
85,6392,10,4,Five stars well deserved!,Website,2024-07-11,2024-07
86,6266,4,3,Product meets basic expectations.,Phone-Call,2022-10-14,2022-10
87,6078,7,5,Good value for money.,Phone-Call,2025-07-16,2025-07
88,6397,4,4,Staff went above and beyond to help.,In-Store,2023-04-07,2023-04
89,6312,9,5,Five stars well deserved!,WhatsApp,2022-01-15,2022-01
90,6128,8,5,Store was clean and well organized.,Website,2023-07-28,2023-07
91,6107,7,4,Five stars well deserved!,App,2022-07-16,2022-07
92,6240,3,2,"Billing took forever, staff was rude.",Website,2023-07-25,2023-07
93,6145,6,4,Will definitely come back again!,Email,2023-10-23,2023-10
94,6207,2,5,Good value for money.,WhatsApp,2022-04-10,2022-04
95,6184,3,4,Store was clean and well organized.,Website,2022-07-20,2022-07
96,6420,5,5,Store was clean and well organized.,Website,2024-03-23,2024-03
97,6447,3,4,Store was clean and well organized.,WhatsApp,2022-01-01,2022-01
98,6022,10,2,"Long waiting time, no one attended to us.",Website,2025-04-24,2025-04
