order_id,store_id,product_id,customer_id,order_date,quantity,selling_price,revenue,order_year,order_month
100001,1,2028,6236,2025-02-06,1,32990,32990,2025,2025-02
100002,1,2001,6306,2025-04-24,2,26999,53998,2025,2025-04
100003,4,2039,6498,2025-04-13,1,1999,1999,2025,2025-04
100004,10,2065,6421,2024-07-26,1,29990,29990,2024,2024-07
100005,2,2075,6444,2024-02-29,1,13990,13990,2024,2024-02
100006,7,2034,6481,2023-06-04,2,13499,26998,2023,2023-06
100007,3,2043,6379,2026-02-06,2,7499,14998,2026,2026-02
100008,2,2114,6398,2026-02-27,1,7999,7999,2026,2026-02
100009,7,2028,6229,2025-02-15,1,32990,32990,2025,2025-02
100010,10,2120,6109,2026-01-29,1,12499,12499,2026,2026-01
100011,10,2042,6498,2025-02-27,1,26990,26990,2025,2025-02
100012,4,2007,6089,2025-10-09,1,25999,25999,2025,2025-10
100013,8,2040,6057,2025-05-13,1,1199,1199,2025,2025-05
100014,1,2028,6385,2025-04-08,1,32990,32990,2025,2025-04
100015,6,2006,6057,2024-05-08,1,33999,33999,2024,2024-05
100016,8,2091,6077,2023-05-10,2,12499,24998,2023,2023-05
100017,5,2018,6154,2025-12-31,1,84990,84990,2025,2025-12
100018,8,2044,6330,2026-03-18,1,9499,9499,2026,2026-03
100019,8,2105,6408,2025-12-31,2,24990,49980,2025,2025-12
100020,5,2006,6303,2025-07-03,1,33999,33999,2025,2025-07
100021,4,2010,6046,2025-10-12,1,19999,19999,2025,2025-10
100022,5,2119,6466,2026-03-10,1,9999,9999,2026,2026-03
100023,7,2004,6500,2025-10-25,1,21999,21999,2025,2025-10
100024,8,2003,6283,2025-10-13,1,27999,27999,2025,2025-10
100025,4,2102,6292,2024-07-24,1,30990,30990,2024,2024-07
100026,8,2115,6082,2024-10-02,1,3499,3499,2024,2024-10
100027,4,2114,6255,2026-02-17,1,7999,7999,2026,2026-02
100028,10,2017,6006,2026-02-26,2,64990,129980,2026,2026-02
100029,1,2114,6226,2024-07-04,1,7999,7999,2024,2024-07
100030,9,2102,6438,2026-01-28,1,30990,30990,2026,2026-01
100031,4,2036,6104,2026-03-12,1,18999,18999,2026,2026-03
100032,3,2087,6409,2025-03-04,1,19990,19990,2025,2025-03
100033,1,2038,6024,2023-06-29,1,1799,1799,2023,2023-06
100034,10,2098,6224,2025-03-11,1,2799,2799,2025,2025-03
100035,10,2072,6202,2026-03-10,1,32990,32990,2026,2026-03
100036,9,2075,6171,2026-03-23,1,13990,13990,2026,2026-03
100037,10,2074,6257,2026-01-10,1,44990,44990,2026,2026-01
100038,6,2109,6432,2024-10-21,1,42990,42990,2024,2024-10
100039,6,2002,6380,2025-05-21,1,79900,79900,2025,2025-05
100040,3,2069,6424,2026-01-22,1,14990,14990,2026,2026-01
100041,1,2010,6187,2026-03-19,1,19999,19999,2026,2026-03
100042,2,2078,6255,2025-11-08,1,29990,29990,2025,2025-11
100043,2,2079,6441,2025-06-02,1,21990,21990,2025,2025-06
100044,7,2014,6333,2026-03-17,1,114900,114900,2026,2026-03
100045,1,2118,6006,2025-11-01,1,10999,10999,2025,2025-11
100046,4,2100,6429,2024-03-23,1,1699,1699,2024,2024-03
100047,2,2064,6229,2024-07-20,1,19990,19990,2024,2024-07
100048,1,2016,6248,2025-06-18,2,51990,103980,2025,2025-06
100049,1,2060,6351,2026-03-08,2,1499,2998,2026,2026-03
100050,7,2067,6072,2026-02-17,1,15990,15990,2026,2026-02
100051,4,2063,6288,2026-01-03,1,34990,34990,2026,2026-01
100052,2,2027,6012,2024-04-13,3,22990,68970,2024,2024-04
100053,2,2038,6385,2023-11-03,1,1799,1799,2023,2023-11
100054,3,2114,6273,2023-06-08,1,7999,7999,2023,2023-06
100055,9,2087,6141,2024-09-27,1,19990,19990,2024,2024-09
100056,10,2065,6264,2025-03-24,1,29990,29990,2025,2025-03
100057,7,2007,6002,2024-12-16,2,25999,51998,2024,2024-12
100058,7,2008,6118,2026-03-08,1,22999,22999,2026,2026-03
100059,8,2056,6155,2025-10-04,1,1699,1699,2025,2025-10
100060,7,2036,6333,2025-06-19,1,18999,18999,2025,2025-06
100061,4,2113,6251,2026-02-06,1,9499,9499,2026,2026-02
100062,5,2104,6359,2025-07-15,1,44990,44990,2025,2025-07
100063,7,2058,6484,2024-03-24,2,9999,19998,2024,2024-03
100064,2,2002,6258,2024-08-20,1,79900,79900,2024,2024-08
100065,9,2100,6444,2025-05-16,2,1699,3398,2025,2025-05
100066,3,2110,6378,2026-02-24,1,31990,31990,2026,2026-02
100067,4,2042,6489,2024-04-28,1,26990,26990,2024,2024-04
100068,7,2033,6012,2023-04-09,1,12999,12999,2023,2023-04
100069,7,2014,6430,2025-03-04,1,114900,114900,2025,2025-03
100070,1,2086,6073,2024-11-01,1,17990,17990,2024,2024-11
100071,7,2035,6221,2024-10-14,1,3499,3499,2024,2024-10
100072,2,2009,6376,2025-06-05,1,10999,10999,2025,2025-06
100073,4,2076,6328,2026-01-21,1,38990,38990,2026,2026-01
100074,1,2072,6126,2024-09-07,1,32990,32990,2024,2024-09
100075,3,2031,6500,2026-01-29,1,9499,9499,2026,2026-01
100076,3,2101,6114,2022-05-26,1,38990,38990,2022,2022-05
100077,3,2058,6497,2025-07-30,1,9999,9999,2025,2025-07
100078,10,2118,6188,2026-03-05,1,10999,10999,2026,2026-03
100079,8,2061,6463,2026-01-29,1,44900,44900,2026,2026-01
100080,5,2119,6282,2025-03-07,1,9999,9999,2025,2025-03
100081,3,2007,6114,2023-07-22,1,25999,25999,2023,2023-07
100082,2,2107,6002,2023-07-02,1,33990,33990,2023,2023-07
